"","XIV.Open","XIV.High","XIV.Low","XIV.Close","XIV.Volume","XIV.Adjusted","Signal"
"1",17.404,17.442,16.589,17.1,1815000,17.1,0
"2",16.831,17.443,16.573,17.264,1800000,17.26,0
"3",17.392,17.433,16.782,17.034,2718000,17.03,0
"4",16.855,17.389,16.688,16.697,3126000,16.7,0
"5",16.479,17.041,16.236,17,2837000,17,0
"6",17.065,17.558,16.857,17.441,1857000,17.44,0
"7",17.684,17.865,17.421,17.81,2695000,17.81,0
"8",17.816,18.075,17.254,17.618,2682000,17.62,0
"9",16.773,17.285,16.666,17.016,1710000,17.02,0
"10",17.237,17.454,17.07,17.074,1416000,17.07,0
"11",17.083,17.745,17.068,17.57,3523000,17.57,0
"12",17.517,17.999,17.4,17.934,1623000,17.93,0
"13",18.237,18.501,18.171,18.279,1274000,18.28,0
"14",18.96,18.96,18.561,18.815,991000,18.82,0
"15",18.665,18.735,17.546,17.546,2227000,17.55,0
"16",17.85,17.982,17.241,17.777,2940000,17.78,0
"17",17.06,18,17.025,17.766,3127000,17.77,0
"18",17.805,17.993,17.27,17.488,1571000,17.49,0
"19",17.8,18.1,17.678,17.678,2214000,17.68,0
"20",17.683,17.861,17.334,17.393,3138000,17.39,0
"21",17.68,18.099,17.623,17.928,1578000,17.93,0
"22",17.895,17.949,17.179,17.355,5212000,17.35,0
"23",17.424,17.598,16.697,17.038,6210000,17.04,0
"24",17.526,17.77,17.491,17.545,2285000,17.55,0
"25",16.951,17.076,16,16.081,7963000,16.08,0
"26",15.766,16.008,14.462,15.232,17082000,15.23,0
"27",15.708,15.873,15.158,15.496,4754000,15.5,0
"28",15.383,16.208,15.285,16.174,3921000,16.17,0
"29",16.671,17.122,16.586,16.7,1829000,16.7,0
"30",16.886,17.231,16.514,16.558,4497000,16.56,0
"31",15.655,16.564,15.414,16.542,4923000,16.54,0
"32",16.698,16.778,15.778,15.854,48099000,15.85,0
"33",15.83,16.19,15.62,16.11,1968200,16.11,0
"34",16.34,16.76,16.19,16.74,2767500,16.74,0
"35",17.16,17.6,17,17.55,2163400,17.55,0
"36",17.9,18.48,17.86,18.29,2696300,18.29,0
"37",18.39,19.15,18.33,19,3158100,19,0
"38",19.04,19.2,18.8,18.91,3239100,18.91,0
"39",18.7,18.88,18.32,18.64,3107100,18.64,0
"40",19.29,19.36,19.11,19.17,3282700,19.17,0
"41",18.42,18.92,18.42,18.89,3531000,18.89,0
"42",17.97,18.19,17.26,17.34,3479500,17.34,0
